P4,O2,P8,T8,C4,Cz,Fz,F4,Fp2,F8,Fp1,F7,F3,C3,T7,P7,P3,O1,Pz
-30.21868849,-42.02595009,-32.71110751,-24.74961636,-14.30614426,-7.748924702,4.406961507,1.642412811,3.104682372,-13.69153749,-4.726041147,-7.187233498,2.916444664,-5.841269491,-8.525855859,-26.97218157,-30.7181463,-29.77523929,6.976074061
-32.98217558,-51.19293682,-36.10879445,-22.43048106,-13.32129148,-7.455093952,-0.446486195,-0.500951636,-3.894152249,-11.65347923,-10.15194378,-12.19249865,-1.913690673,-7.37507716,-11.28361957,-29.23256014,-33.84459287,-35.99827814,0.820901975
-31.03075203,-55.39143613,-36.24539174,-19.08643131,-9.821078536,-6.010953026,-8.842948768,-3.588245053,-10.59283141,-6.659871661,-15.71083581,-17.94756938,-8.068612259,-9.203859847,-14.0478252,-30.32582453,-34.21647107,-38.15767966,-0.8940507
-25.36455279,-54.30144471,-32.85974021,-15.23919411,-4.759158472,-3.829933033,-16.15157708,-5.787020776,-14.05346351,-0.28728388,-18.88014208,-22.11683647,-13.15234109,-10.38728186,-15.8612338,-29.64869537,-31.62750803,-35.92919591,1.812373722
-18.01695555,-49.41936773,-27.18584494,-11.52149591,0.188911999,-1.488572462,-18.85253295,-6.304540754,-13.87419047,3.142053715,-19.06501708,-22.85910532,-15.51845058,-10.24301267,-16.70194072,-26.94146931,-26.42564613,-30.19076943,7.678644223
-10.83016204,-42.8147767,-21.08233483,-8.301585041,3.53014377,0.55689921,-16.80456306,-5.749520792,-11.48072197,0.607963422,-17.2690789,-19.9657649,-14.95666765,-8.627244329,-16.71667446,-22.34517091,-19.27820645,-22.39942368,15.0794101
-4.515643378,-35.75754003,-15.78808318,-5.493535365,4.714356823,2.108725489,-12.81106744,-5.438196149,-8.452145534,-6.266380805,-14.7418669,-15.01245331,-12.42644013,-5.904245164,-15.45940015,-16.43440639,-10.98923445,-13.8366682,22.93303295
1.364736318,-28.27416752,-11.25297994,-2.77070099,4.278674408,3.162572172,-10.00291203,-6.188169569,-5.447810566,-11.76835524,-11.92093448,-10.24124836,-9.155663308,-2.690400986,-11.98646926,-10.1274291,-2.459659765,-5.244410772,30.97855322
7.617824491,-19.81533641,-6.505161956,-0.007177189,3.343227539,3.74873661,-9.314740777,-7.544230742,-2.392719561,-10.34268156,-8.485755016,-6.921754055,-5.824986703,0.434784331,-5.761695405,-4.380473939,5.35923431,3.065566125,39.36038688
14.52755005,-10.30102946,-0.719077832,2.467309131,2.85176309,3.837734507,-9.120047541,-8.058459305,0.705086978,-1.052297446,-4.22858131,-4.494257582,-2.411002222,3.080441413,2.479714925,0.215956397,11.66682289,10.9206171,47.99913866
21.50030349,-0.621547319,5.842895671,4.05159121,3.066157496,3.374278242,-7.152660362,-6.437049195,3.370098532,11.49250383,0.245155129,-1.289228884,1.295093456,5.011403309,10.74505296,3.622054247,16.08191707,18.11238138,56.28398438
27.3729962,7.723974688,11.69655844,4.327802599,3.579961977,2.371592163,-2.896596081,-2.688943128,5.078815131,20.50333401,3.686481749,3.656123556,5.005491311,6.020426935,16.73255133,6.07937251,18.70648756,24.36911643,63.24342972
31.00884839,13.40243493,14.87701648,3.347605223,3.731821949,0.954389936,1.668347214,1.61238746,5.858706843,21.83893559,5.039064553,9.175854584,7.70833049,5.856291232,18.96780492,7.531443173,19.82635614,29.31530571,67.9450617
31.7257474,15.74983212,14.02893726,1.472330245,3.068343236,-0.687159026,3.555332166,4.196970234,6.21475546,16.34706271,4.114250847,12.27718856,8.13749915,4.304387234,17.28120875,7.244963609,19.44727321,32.3579862,69.79357302
29.40664503,14.74099328,9.154489699,-1.053994866,1.563911573,-2.366822808,1.149316135,3.517003031,6.310618443,8.094885748,1.502327071,10.17724605,5.630812316,1.386726535,12.43099503,4.109541126,17.1160502,32.68665244,68.62550552
24.45732364,10.74294427,1.630498132,-4.316450386,-0.452212966,-3.909328632,-4.534727021,-0.251234371,5.293162176,0.466987428,-2.077291958,2.626025791,0.758973196,-2.464186141,5.433133324,-2.417435564,12.31721709,29.62807682,64.72931575
17.79010418,4.497089581,-6.413251439,-8.427309273,-2.509223572,-5.094778551,-10.64414252,-5.282073442,1.729993645,-6.198827568,-6.221841177,-7.321337202,-4.743222362,-6.414792533,-2.696604223,-11.37592554,5.228934455,23.29916468,58.89575302
10.77138355,-2.650381236,-12.9513236,-12.95319824,-4.178906301,-5.638976184,-14.49762509,-9.168465083,-4.891210137,-13.44010547,-10.57657571,-14.84640674,-8.737639723,-9.476068593,-10.66113749,-20.21518704,-2.803293323,15.08574114,52.39020932
4.909943494,-8.740060677,-16.74995803,-16.69873278,-5.183073335,-5.304214682,-15.10254149,-10.27077156,-12.86254816,-21.4131977,-14.17418541,-16.24963452,-9.684112188,-10.88470855,-16.63438381,-25.87795393,-9.629073955,7.385963091,46.63502854
1.232685619,-11.85321693,-17.67384549,-18.27062104,-5.476338002,-4.109337612,-13.14633161,-8.529746321,-18.58522461,-27.04778656,-15.2743527,-11.16480363,-7.312662218,-10.42097705,-18.70886028,-26.49620856,-13.42642434,2.507986855,42.59241704
-0.323420721,-11.2482943,-16.59500128,-17.14677216,-5.326216559,-2.470400672,-9.882333852,-5.344616329,-18.73120561,-25.84559897,-12.26022828,-2.587873841,-2.643688376,-8.489246614,-16.02227771,-22.56481136,-13.85874834,1.318709706,40.19975652
-0.979013094,-8.149684634,-14.97978369,-14.37845706,-5.305353267,-1.098390785,-6.173304001,-2.703653294,-12.77287411,-16.07892266,-5.116587671,5.179289116,2.568333752,-5.919899114,-9.715092708,-16.70729137,-12.35558299,2.607329254,38.35075989
